date,nav,acc_nav
2024-10-22,0.9883,0.9883
2024-10-23,0.973,0.973
2024-10-24,0.9734,0.9734
2024-10-25,0.9812,0.9812
2024-10-28,0.9871,0.9871
2024-10-29,0.9768,0.9768
2024-10-30,0.9746,0.9746
2024-10-31,0.9807,0.9807
2024-11-01,0.9551,0.9551
2024-11-04,1.0325,1.0325
2024-11-05,1.0637,1.0637
2024-11-06,1.093,1.093
2024-11-07,1.0819,1.0819
2024-11-08,1.0906,1.0906
2024-11-11,1.1629,1.1629
2024-11-12,1.1427,1.1427
2024-11-13,1.1483,1.1483
2024-11-14,1.1215,1.1215
2024-11-15,1.0719,1.0719
2024-11-18,1.0376,1.0376
2024-11-19,1.1043,1.1043
2024-11-20,1.1449,1.1449
2024-11-21,1.1277,1.1277
2024-11-22,1.1002,1.1002
2024-11-25,1.1216,1.1216
2024-11-26,1.0648,1.0648
2024-11-27,1.0878,1.0878
2024-11-28,1.0695,1.0695
2024-11-29,1.162,1.162
2024-12-02,1.2258,1.2258
2024-12-03,1.2352,1.2352
2024-12-04,1.2664,1.2664
2024-12-05,1.324,1.324
2024-12-06,1.3119,1.3119
2024-12-09,1.3468,1.3468
2024-12-10,1.4036,1.4036
2024-12-11,1.3883,1.3883
2024-12-12,1.3631,1.3631
2024-12-13,1.329,1.329
2024-12-16,1.3147,1.3147
2024-12-17,1.2572,1.2572
2024-12-18,1.2643,1.2643
2024-12-19,1.2639,1.2639
2024-12-20,1.3142,1.3142
2024-12-23,1.2596,1.2596
2024-12-24,1.302,1.302
2024-12-25,1.306,1.306
2024-12-26,1.3505,1.3505
2024-12-27,1.3198,1.3198
2024-12-30,1.297,1.297
2024-12-31,1.2568,1.2568
2025-01-02,1.2592,1.2592
2025-01-03,1.1862,1.1862
2025-01-06,1.1709,1.1709
2025-01-07,1.207,1.207
2025-01-08,1.2637,1.2637
2025-01-09,1.3483,1.3483
2025-01-10,1.4083,1.4083
2025-01-13,1.4123,1.4123
2025-01-14,1.5328,1.5328
2025-01-15,1.5435,1.5435
2025-01-16,1.5286,1.5286
2025-01-17,1.5238,1.5238
2025-01-20,1.5454,1.5454
2025-01-21,1.6515,1.6515
2025-01-22,1.635,1.635
2025-01-23,1.6464,1.6464
2025-01-24,1.7199,1.7199
2025-01-27,1.6592,1.6592
2025-02-05,1.7115,1.7115
2025-02-06,1.8276,1.8276
2025-02-07,1.8293,1.8293
2025-02-10,1.8264,1.8264
2025-02-11,1.84,1.84
2025-02-12,1.854,1.854
2025-02-13,1.7929,1.7929
2025-02-14,1.7624,1.7624
2025-02-17,1.8534,1.8534
2025-02-18,1.8326,1.8326
2025-02-19,1.9916,1.9916
2025-02-20,2.0367,2.0367
2025-02-21,2.0964,2.0964
2025-02-24,2.0741,2.0741
2025-02-25,2.0953,2.0953
2025-02-26,2.1386,2.1386
2025-02-27,2.1307,2.1307
2025-02-28,1.9699,1.9699
2025-03-03,1.939,1.939
2025-03-04,2.0071,2.0071
2025-03-05,2.0785,2.0785
2025-03-06,2.1036,2.1036
2025-03-07,2.1501,2.1501
2025-03-10,2.1204,2.1204
2025-03-11,2.0958,2.0958
2025-03-12,2.115,2.115
2025-03-13,1.9905,1.9905
2025-03-14,2.0663,2.0663
2025-03-17,2.1007,2.1007
2025-03-18,2.1106,2.1106
2025-03-19,2.1303,2.1303
2025-03-20,2.1176,2.1176
2025-03-21,2.0162,2.0162
